timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-01-01,46216.93,47954.63,46208.37,47722.65,19604.46325,1641081599999,924155159.5834864,714899,9942.36679,468738711.7901065,0
2022-01-02,47722.66,47990.0,46654.0,47286.18,18340.4604,1641167999999,866610995.5633582,709624,9166.46954,433182392.28194654,0
2022-01-03,47286.18,47570.0,45696.0,46446.1,27662.0771,1641254399999,1292203508.3256547,885624,13524.76045,631879430.11428,0
2022-01-04,46446.1,47557.54,45500.0,45832.01,35491.4136,1641340799999,1649170424.1276133,1021815,17689.26808,821725463.0808076,0
2022-01-05,45832.01,47070.0,42500.0,43451.13,51784.11857,1641427199999,2334288544.645448,1478532,23552.9946,1063287226.3571414,0
2022-01-06,43451.14,43816.0,42430.58,43082.31,38880.37305,1641513599999,1674466154.4383326,1150707,19268.82662,829886561.8261453,0
2022-01-07,43082.3,43145.83,40610.0,41566.48,54836.50818,1641599999999,2293851015.4652367,1406635,26519.39261,1109740200.2387211,0
2022-01-08,41566.48,42300.0,40501.0,41679.74,32952.73111,1641686399999,1367233494.8277667,1021908,16462.53747,683155535.4215348,0
2022-01-09,41679.74,42786.7,41200.02,41864.62,22724.39426,1641772799999,952830064.5125848,752733,11399.78979,478046850.277152,0
2022-01-10,41864.62,42248.5,39650.0,41822.49,50729.17019,1641859199999,2088111339.5055964,1250983,24654.54811,1015935553.4027652,0
2022-01-11,41822.49,43100.0,41268.93,42729.29,37296.43729,1641945599999,1574803608.9600787,1015526,18521.95391,782176383.1010938,0
2022-01-12,42729.29,44322.0,42450.0,43902.66,33943.2928,1642031999999,1470906437.7120714,1023902,17584.31885,762205618.815565,0
2022-01-13,43902.65,44500.0,42311.22,42560.11,34910.87762,1642118399999,1515944525.4954948,1036234,17175.40587,746075123.2441133,0
2022-01-14,42558.35,43448.78,41725.95,43059.96,32640.88292,1642204799999,1392000443.3501675,946938,15434.18945,658472386.2432475,0
2022-01-15,43059.96,43800.0,42555.0,43084.29,21936.05616,1642291199999,946488263.548448,752688,11133.18615,480516487.18496794,0
2022-01-16,43084.29,43475.0,42581.79,43071.66,20602.35271,1642377599999,887203134.0531468,732171,10052.19291,432899939.6738643,0
